time,Muttonpulao_02_small peptides absorbed,Cholebhature_01_small peptides absorbed,Curdrice_01_small peptides absorbed,Lemonrice_01_small peptides absorbed,Pasta_01_small peptides absorbed,Masaladosa_01_small peptides absorbed,Vegetable_Biryani_01_small peptides absorbed,Rice_01_small peptides absorbed,Paneer_01_small peptides absorbed,Milk_Chocolate_01_small peptides absorbed,Peanuts_01_small peptides absorbed,Curd_01_small peptides absorbed,Bread_Meal_01_small peptides absorbed,Chickensandwich_01_small peptides absorbed,Apple_Pineapplesalad_01_small peptides absorbed,Spinach_01_small peptides absorbed,Bread_Meal_02_small peptides absorbed,Orange_01_small peptides absorbed,Omelette_01_small peptides absorbed
400.01,0.00109,0.00094,0.00058,0.00066,0.00034,0.00033,0.00078,0.00017,0.00117,0.0003,0.00029,0.0,0.00032,0.00139,0.0,0.0,0.00064,0.0,0.00073
401.01,0.00109,0.00094,0.00058,0.00066,0.00034,0.00033,0.00078,0.00017,0.00117,0.0003,0.00029,0.0,0.00032,0.00139,0.0,0.0,0.00064,0.0,0.00073
402.01,0.00109,0.00094,0.00058,0.00066,0.00033,0.00033,0.00078,0.00017,0.00117,0.0003,0.00028,0.0,0.00032,0.00139,0.0,0.0,0.00064,0.0,0.00073
403.01,0.00109,0.00094,0.00058,0.00066,0.00033,0.00033,0.00078,0.00016,0.00116,0.00029,0.00028,0.0,0.00032,0.00139,0.0,0.0,0.00064,0.0,0.00072
404.01,0.00109,0.00094,0.00058,0.00066,0.00033,0.00032,0.00078,0.00016,0.00116,0.00029,0.00027,0.0,0.00031,0.00139,0.0,0.0,0.00064,0.0,0.00072
405.01,0.00109,0.00094,0.00057,0.00066,0.00033,0.00032,0.00078,0.00016,0.00116,0.00029,0.00027,0.0,0.00031,0.00139,0.0,0.0,0.00064,0.0,0.00072
406.01,0.00109,0.00094,0.00057,0.00066,0.00032,0.00032,0.00078,0.00016,0.00116,0.00028,0.00027,0.0,0.00031,0.00139,0.0,0.0,0.00064,0.0,0.00072
407.01,0.00109,0.00094,0.00057,0.00066,0.00032,0.00032,0.00078,0.00015,0.00116,0.00028,0.00026,0.0,0.00031,0.00139,0.0,0.0,0.00064,0.0,0.00072
408.01,0.00109,0.00094,0.00057,0.00066,0.00032,0.00032,0.00077,0.00015,0.00116,0.00028,0.00026,0.0,0.0003,0.00139,0.0,0.0,0.00064,0.0,0.00072
409.01,0.00109,0.00094,0.00057,0.00066,0.00032,0.00032,0.00077,0.00015,0.00116,0.00027,0.00026,0.0,0.0003,0.00139,0.0,0.0,0.00064,0.0,0.00071
410.01,0.00109,0.00094,0.00057,0.00066,0.00032,0.00032,0.00077,0.00014,0.00116,0.00027,0.00025,0.0,0.0003,0.00139,0.0,0.0,0.00064,0.0,0.00071
411.01,0.00109,0.00094,0.00057,0.00066,0.00031,0.00032,0.00077,0.00014,0.00116,0.00027,0.00025,0.0,0.0003,0.00139,0.0,0.0,0.00064,0.0,0.00071
412.01,0.00109,0.00094,0.00057,0.00065,0.00031,0.00032,0.00077,0.00014,0.00116,0.00026,0.00024,0.0,0.00029,0.00139,0.0,0.0,0.00064,0.0,0.00071
413.01,0.00109,0.00094,0.00057,0.00065,0.00031,0.00032,0.00077,0.00014,0.00116,0.00026,0.00024,0.0,0.00029,0.00139,0.0,0.0,0.00064,0.0,0.0007
414.01,0.00109,0.00094,0.00057,0.00065,0.00031,0.00032,0.00077,0.00013,0.00116,0.00026,0.00024,0.0,0.00029,0.00139,0.0,0.0,0.00063,0.0,0.0007
415.01,0.00109,0.00094,0.00056,0.00065,0.0003,0.00032,0.00077,0.00013,0.00116,0.00025,0.00023,0.0,0.00029,0.00139,0.0,0.0,0.00063,0.0,0.0007
416.01,0.00109,0.00094,0.00056,0.00065,0.0003,0.00032,0.00077,0.00013,0.00116,0.00025,0.00023,0.0,0.00028,0.00138,0.0,0.0,0.00063,0.0,0.0007
417.01,0.00109,0.00094,0.00056,0.00065,0.0003,0.00032,0.00077,0.00013,0.00116,0.00025,0.00022,0.0,0.00028,0.00138,0.0,0.0,0.00063,0.0,0.0007
418.01,0.00109,0.00094,0.00056,0.00065,0.0003,0.00032,0.00077,0.00012,0.00115,0.00024,0.00022,0.0,0.00028,0.00138,0.0,0.0,0.00063,0.0,0.00069
419.01,0.00109,0.00094,0.00056,0.00065,0.00029,0.00032,0.00077,0.00012,0.00115,0.00024,0.00022,0.0,0.00028,0.00138,0.0,0.0,0.00063,0.0,0.00069
420.01,0.00109,0.00094,0.00056,0.00065,0.00029,0.00032,0.00077,0.00012,0.00115,0.00024,0.00021,0.0,0.00027,0.00138,0.0,0.0,0.00063,0.0,0.00069
421.01,0.00109,0.00094,0.00056,0.00065,0.00029,0.00032,0.00077,0.00012,0.00115,0.00023,0.00021,0.0,0.00027,0.00138,0.0,0.0,0.00063,0.0,0.00069
422.01,0.00109,0.00094,0.00056,0.00065,0.00029,0.00032,0.00077,0.00011,0.00115,0.00023,0.00021,0.0,0.00027,0.00138,0.0,0.0,0.00063,0.0,0.00069
423.01,0.00109,0.00094,0.00056,0.00065,0.00028,0.00031,0.00077,0.00011,0.00115,0.00023,0.0002,0.0,0.00027,0.00138,0.0,0.0,0.00063,0.0,0.00068
424.01,0.00109,0.00094,0.00056,0.00065,0.00028,0.00031,0.00077,0.00011,0.00115,0.00022,0.0002,0.0,0.00026,0.00138,0.0,0.0,0.00063,0.0,0.00068
425.01,0.00109,0.00094,0.00056,0.00065,0.00028,0.00031,0.00077,0.00011,0.00115,0.00022,0.0002,0.0,0.00026,0.00138,0.0,0.0,0.00063,0.0,0.00068
426.01,0.00109,0.00094,0.00056,0.00065,0.00027,0.00031,0.00077,0.0001,0.00115,0.00022,0.00019,0.0,0.00026,0.00138,0.0,0.0,0.00063,0.0,0.00068
427.01,0.00109,0.00094,0.00055,0.00065,0.00027,0.00031,0.00077,0.0001,0.00115,0.00021,0.00019,0.0,0.00026,0.00138,0.0,0.0,0.00063,0.0,0.00068
428.01,0.00109,0.00094,0.00055,0.00065,0.00027,0.00031,0.00077,0.0001,0.00115,0.00021,0.00019,0.0,0.00025,0.00137,0.0,0.0,0.00063,0.0,0.00067
429.01,0.00109,0.00094,0.00055,0.00064,0.00027,0.00031,0.00077,0.0001,0.00115,0.00021,0.00018,0.0,0.00025,0.00137,0.0,0.0,0.00063,0.0,0.00067
430.01,0.00109,0.00094,0.00055,0.00064,0.00026,0.00031,0.00077,9e-05,0.00115,0.0002,0.00018,0.0,0.00025,0.00137,0.0,0.0,0.00063,0.0,0.00067
431.01,0.00109,0.00094,0.00055,0.00064,0.00026,0.00031,0.00077,9e-05,0.00115,0.0002,0.00018,0.0,0.00024,0.00137,0.0,0.0,0.00063,0.0,0.00067
432.01,0.00109,0.00094,0.00055,0.00064,0.00026,0.00031,0.00077,9e-05,0.00114,0.0002,0.00017,0.0,0.00024,0.00137,0.0,0.0,0.00063,0.0,0.00066
433.01,0.00109,0.00094,0.00055,0.00064,0.00026,0.00031,0.00077,9e-05,0.00114,0.0002,0.00017,0.0,0.00024,0.00137,0.0,0.0,0.00063,0.0,0.00066
434.01,0.00109,0.00094,0.00055,0.00064,0.00025,0.00031,0.00077,9e-05,0.00114,0.00019,0.00017,0.0,0.00024,0.00137,0.0,0.0,0.00063,0.0,0.00066
435.01,0.00109,0.00094,0.00055,0.00064,0.00025,0.00031,0.00077,8e-05,0.00114,0.00019,0.00016,0.0,0.00023,0.00137,0.0,0.0,0.00063,0.0,0.00066
436.01,0.00109,0.00094,0.00054,0.00064,0.00025,0.00031,0.00077,8e-05,0.00114,0.00019,0.00016,0.0,0.00023,0.00137,0.0,0.0,0.00063,0.0,0.00066
437.01,0.00109,0.00094,0.00054,0.00064,0.00025,0.00031,0.00077,8e-05,0.00114,0.00018,0.00016,0.0,0.00023,0.00136,0.0,0.0,0.00063,0.0,0.00065
438.01,0.00109,0.00094,0.00054,0.00064,0.00024,0.00031,0.00077,8e-05,0.00114,0.00018,0.00015,0.0,0.00022,0.00136,0.0,0.0,0.00063,0.0,0.00065
439.01,0.00109,0.00094,0.00054,0.00064,0.00024,0.00031,0.00077,7e-05,0.00114,0.00018,0.00015,0.0,0.00022,0.00136,0.0,0.0,0.00063,0.0,0.00065
440.01,0.00109,0.00094,0.00054,0.00064,0.00024,0.00031,0.00076,7e-05,0.00114,0.00017,0.00015,0.0,0.00022,0.00136,0.0,0.0,0.00063,0.0,0.00065
441.01,0.00109,0.00094,0.00054,0.00064,0.00023,0.00031,0.00076,7e-05,0.00114,0.00017,0.00014,0.0,0.00022,0.00136,0.0,0.0,0.00063,0.0,0.00065
442.01,0.00109,0.00094,0.00054,0.00064,0.00023,0.00031,0.00076,7e-05,0.00114,0.00017,0.00014,0.0,0.00021,0.00136,0.0,0.0,0.00063,0.0,0.00064
443.01,0.00109,0.00094,0.00054,0.00064,0.00023,0.00031,0.00076,7e-05,0.00114,0.00017,0.00014,0.0,0.00021,0.00136,0.0,0.0,0.00062,0.0,0.00064
444.01,0.00109,0.00094,0.00054,0.00064,0.00023,0.0003,0.00076,6e-05,0.00113,0.00016,0.00014,0.0,0.00021,0.00136,0.0,0.0,0.00062,0.0,0.00064
445.01,0.00109,0.00094,0.00054,0.00064,0.00022,0.0003,0.00076,6e-05,0.00113,0.00016,0.00013,0.0,0.00021,0.00136,0.0,0.0,0.00062,0.0,0.00064
446.01,0.00109,0.00094,0.00054,0.00063,0.00022,0.0003,0.00076,6e-05,0.00113,0.00016,0.00013,0.0,0.0002,0.00135,0.0,0.0,0.00062,0.0,0.00063
447.01,0.00109,0.00094,0.00053,0.00063,0.00022,0.0003,0.00076,6e-05,0.00113,0.00015,0.00013,0.0,0.0002,0.00135,0.0,0.0,0.00062,0.0,0.00063
448.01,0.00109,0.00094,0.00053,0.00063,0.00021,0.0003,0.00076,6e-05,0.00113,0.00015,0.00012,0.0,0.0002,0.00135,0.0,0.0,0.00062,0.0,0.00063
449.01,0.00109,0.00094,0.00053,0.00063,0.00021,0.0003,0.00076,6e-05,0.00113,0.00015,0.00012,0.0,0.00019,0.00135,0.0,0.0,0.00062,0.0,0.00063
450.01,0.00109,0.00094,0.00053,0.00063,0.00021,0.0003,0.00076,5e-05,0.00113,0.00015,0.00012,0.0,0.00019,0.00135,0.0,0.0,0.00062,0.0,0.00062
451.01,0.00108,0.00094,0.00053,0.00063,0.00021,0.0003,0.00076,5e-05,0.00113,0.00014,0.00012,0.0,0.00019,0.00135,0.0,0.0,0.00062,0.0,0.00062
452.01,0.00108,0.00093,0.00053,0.00063,0.0002,0.0003,0.00076,5e-05,0.00113,0.00014,0.00011,0.0,0.00019,0.00135,0.0,0.0,0.00062,0.0,0.00062
