time,Muttonpulao_02_serum_glucose_mg_dl,Cholebhature_01_serum_glucose_mg_dl,Curdrice_01_serum_glucose_mg_dl,Lemonrice_01_serum_glucose_mg_dl,Pasta_01_serum_glucose_mg_dl,Masaladosa_01_serum_glucose_mg_dl,Vegetable_Biryani_01_serum_glucose_mg_dl,Rapid_starch_01_serum_glucose_mg_dl,Chickenbreast_01_serum_glucose_mg_dl,Rice_01_serum_glucose_mg_dl,Eggwhite_01_serum_glucose_mg_dl,Paneer_01_serum_glucose_mg_dl,Milk_Chocolate_01_serum_glucose_mg_dl,Peanuts_01_serum_glucose_mg_dl,Curd_01_serum_glucose_mg_dl,Glucose_01_serum_glucose_mg_dl,Biscuit_01_serum_glucose_mg_dl,Glucose_02_serum_glucose_mg_dl,Bread_Meal_01_100_serum_glucose_mg_dl,Chickensandwich_01_serum_glucose_mg_dl,Ghee_01_serum_glucose_mg_dl,Apple_Pineapplesalad_01_serum_glucose_mg_dl,Spinach_01_serum_glucose_mg_dl,Bread_meal_02_serum_glucose_mg_dl,Orange_01_serum_glucose_mg_dl,Omelette_01_serum_glucose_mg_dl,Muttonpulao_01_serum_glucose_mg_dl,Arabinose_01_serum_glucose_mg_dl
38.01,92.67216,94.62815,100.60443,103.36392,113.91234,92.07093,96.97267,123.57367,84.93262,126.60924,84.93268,90.89966,94.3278,91.908,88.48253,,143.30999,82.60734,112.20584,90.81177,84.93268,98.33074,85.53139,114.72023,96.31421,92.29259,103.36392,84.93117
39.01,92.1427,94.31376,99.74211,101.84891,112.0279,91.71485,96.37636,121.12918,84.93258,123.95542,84.93264,90.83108,94.10702,91.38049,88.47972,,143.2607,78.54252,109.33139,90.39959,84.93264,97.48255,85.50436,112.40457,95.62155,92.16969,101.84891,84.93108
40.01,91.67528,94.0343,98.89193,100.34752,110.14152,91.37044,95.80623,118.76831,84.93253,121.24589,84.9326,90.75633,93.93896,90.86288,88.4725,,142.8554,75.36739,106.48456,90.02271,84.9326,96.66342,85.47518,110.1224,94.96542,92.04083,100.34752,84.93099
41.01,91.2719,93.78918,98.05847,98.86939,108.27429,91.04025,95.26713,116.49197,84.93248,118.49727,84.93256,90.67601,93.81824,90.35904,88.46096,,142.10877,73.07208,103.70558,89.68024,84.93256,95.88102,85.44393,107.89497,94.35059,91.90706,98.86939,84.93091
42.01,90.93259,93.57706,97.24647,97.42249,106.44415,90.72607,94.76368,114.20411,84.93243,115.71858,84.93251,90.59073,93.73909,89.87194,88.44522,,141.04616,70.5047,101.02643,89.37068,84.93251,95.1431,85.4107,105.73998,93.77961,91.76936,97.42249,84.93082
43.01,90.65553,93.39603,96.46091,96.01343,104.66588,90.429,94.30014,111.77051,84.93237,112.91522,84.93246,90.50106,93.6956,89.40369,88.42543,,139.70173,67.74754,98.47106,89.09199,84.93246,94.4572,85.37556,103.67174,93.25297,91.62864,96.01343,84.93073
44.01,90.43723,93.24372,95.70708,94.64783,102.95125,90.14947,93.88015,109.2411,84.93232,110.09928,84.93241,90.40757,93.68194,88.95562,88.4017,,138.11582,64.93574,96.05644,88.84174,84.93241,93.83021,85.33861,101.70162,92.76942,91.48574,94.64783,84.93065
45.01,90.27288,93.11741,94.99062,93.33086,101.30933,89.88735,93.50656,106.70991,84.93225,107.29742,84.93235,90.31085,93.69254,88.52836,88.37418,,136.33228,62.13306,93.7936,88.61726,84.93235,93.26786,85.29991,99.83853,92.32627,91.34142,93.33086,84.93056
46.01,90.1568,93.01417,94.31753,92.06774,99.74684,89.64212,93.18127,104.24266,84.93219,104.54529,84.93229,90.21141,93.72221,88.12197,88.34299,,134.39602,59.35221,91.68887,88.41572,84.93229,92.77429,85.25956,98.0892,91.91983,91.19635,92.06774,84.93048
47.01,90.08279,92.93098,93.69403,90.8645,98.26843,89.41298,92.90506,101.87769,84.93212,101.87692,84.93223,90.10978,93.76616,87.73604,88.30826,,132.35083,56.55518,89.74492,88.23423,84.93223,92.35161,85.21763,96.45869,91.54583,91.05118,90.8645,84.93039
48.01,90.04448,92.86483,93.12626,89.72854,96.87715,89.19899,92.67764,99.63157,84.93205,99.31952,84.93216,90.00642,93.82013,87.36981,88.27013,,130.23742,,87.96185,88.06996,84.93216,91.9998,85.1742,94.94991,91.19984,90.90652,89.72854,84.93031
49.01,90.03563,92.8128,92.61992,88.66921,95.57473,88.99919,92.49759,97.5016,84.93198,96.89272,84.93209,89.90176,93.88038,87.02223,88.22876,,128.09212,,86.3383,87.92017,84.93209,91.71671,85.12935,93.56296,90.87764,90.76291,88.66921,84.93022
50.01,90.05028,92.77213,92.17986,87.69791,94.362,88.81264,92.36252,95.42484,84.9319,94.60935,84.93202,89.79618,93.94362,86.69208,88.18428,,125.94647,,84.87288,87.78228,84.93202,91.49833,85.08316,92.29542,90.57533,90.62085,87.69791,84.93014
51.01,90.08295,92.74029,91.80967,86.82762,93.23913,88.63847,92.26921,93.42064,84.93182,92.4766,84.93194,89.69007,94.007,86.378,88.13683,,123.82734,,83.56589,87.65391,84.93194,91.33919,85.03571,91.14308,90.28945,90.48073,86.82762,84.93006
52.01,90.12864,92.71496,91.51135,86.07169,92.20604,88.47585,92.21377,91.53523,84.93173,90.49714,84.93187,89.58377,94.06809,86.07861,88.08655,,121.75704,,82.42092,87.53295,84.93187,91.23277,84.98708,90.10068,90.01704,90.34292,86.07169,84.92998
53.01,90.18295,92.69414,91.28509,85.44198,91.26272,88.32401,92.19191,89.79075,84.93165,88.67012,84.93178,89.47759,94.12483,85.79251,88.03357,,119.75306,,81.44571,87.41751,84.93178,91.17202,84.93735,89.16261,89.75559,90.2077,85.44198,84.92989
54.01,90.24208,92.67604,91.12924,84.94672,90.40947,88.18217,92.19907,88.19583,84.93155,86.99198,84.9317,89.37182,94.17557,85.51835,87.97805,,117.82827,,80.65147,87.306,84.9317,91.14966,84.88659,88.32346,89.50298,90.07532,84.94672,84.92981
55.01,90.30273,92.65919,91.04038,84.58894,89.64706,88.04955,92.23066,86.75069,84.93146,85.45733,84.93161,89.26669,94.21903,85.25485,87.92013,,115.99163,,80.05003,87.1971,84.93161,91.15853,84.83488,87.57838,89.25752,89.94599,84.58894,84.92974
56.01,90.36221,92.64233,91.01356,84.36578,88.97669,87.92532,92.28217,85.44688,84.93136,84.05952,84.93152,89.1624,94.2543,85.00076,87.85994,,114.24924,,79.64968,87.08971,84.93152,91.19184,84.78227,86.92321,89.01793,89.81983,84.36578,84.92966
57.01,90.41832,92.62448,91.04264,84.26894,88.39972,87.8086,92.3493,84.1141,84.93126,82.7912,84.93143,89.05916,94.28075,84.75493,87.79759,,112.60443,,79.45131,86.983,84.93143,91.24331,84.72886,86.35461,88.78319,89.69694,84.26894,84.92958
58.01,90.46933,92.60486,91.12065,84.28614,87.91732,87.69851,92.428,82.39748,84.93116,81.64469,84.93133,88.95714,94.29801,84.51626,87.73321,,111.05713,,79.44668,86.87633,84.93133,91.30729,84.6747,85.86997,88.55254,89.57738,84.28614,84.92951
59.01,90.51398,92.58296,91.2402,84.40274,87.53002,87.59414,92.51459,80.498,84.93106,80.61222,84.93123,88.85651,94.30596,84.28374,87.66693,,109.60426,,79.61928,86.76921,84.93123,91.37881,84.61988,85.46723,88.32542,89.46114,84.40274,84.92943
60.01,90.55137,92.55849,91.39375,84.60338,87.2373,87.49466,92.60574,78.56133,84.93095,79.68607,84.93113,88.75742,94.30465,84.05649,87.59888,,108.24016,,79.9469,86.66133,84.93113,91.45358,84.56445,85.14462,88.10143,89.34827,84.60338,84.92936
61.01,90.58095,92.53139,91.5739,84.8731,87.03728,87.39929,92.6985,77.62484,84.93083,78.85875,84.93102,88.65998,94.29436,83.8337,87.52918,,106.95759,,80.40462,86.55248,84.93102,91.52794,84.50848,84.90033,87.8803,89.23875,84.8731,84.92929
62.01,90.60248,92.50177,91.77361,85.19808,86.92646,87.30739,92.79039,77.08336,84.93072,78.1231,84.93092,88.5643,94.27557,83.61461,87.45797,,105.7474,,80.9673,86.44257,84.93092,91.59885,84.45204,84.7323,87.66184,89.13261,85.19808,84.92921
63.01,90.61595,92.46984,91.9863,85.56592,86.89975,87.21843,92.87936,76.01157,84.9306,77.47243,84.93081,88.47046,94.24886,83.39855,87.38537,,104.59831,,81.6111,86.33153,84.93081,91.66383,84.39518,84.63793,87.44596,89.02983,85.56592,84.92915
64.01,90.62157,92.4359,92.20602,85.96574,86.95047,87.13204,92.96383,74.66509,84.93048,76.90056,84.93069,88.37853,94.21495,83.18488,87.31147,,103.4998,,82.31415,86.21938,84.93069,91.72094,84.33798,84.61404,87.23265,88.93038,85.96574,84.92908
65.01,90.61972,92.4003,92.42744,86.38802,87.07071,87.04793,93.04257,73.21866,84.93036,76.40186,84.93058,88.28858,94.1746,82.97303,87.2364,,102.44428,,83.05671,86.10613,84.93058,91.76871,84.28048,84.65672,87.02195,88.83425,86.38802,84.92901
66.01,90.61096,92.36344,92.64595,86.82446,87.25164,86.96592,93.1147,71.77104,84.93023,75.97109,84.93046,88.20067,94.12859,82.76248,87.16025,,101.43041,,83.8211,85.99183,84.93046,91.80609,84.22276,84.76142,86.81389,88.74143,86.82446,84.92895
67.01,90.59594,92.32573,92.85763,87.26779,87.48393,86.88584,93.17959,70.37504,84.9301,75.60339,84.93034,88.11484,94.07776,82.5528,87.08313,,100.46054,,84.59155,85.87654,84.93034,91.83241,84.16486,84.92298,86.60852,88.65194,87.26779,84.92888
68.01,90.57542,92.28757,93.05924,87.71161,87.75816,86.80756,93.23686,69.05523,84.92997,75.29423,84.93021,88.03112,94.02294,82.34358,87.00514,,99.53642,,85.35407,85.76035,84.93021,91.84736,84.10685,85.13577,86.40588,88.56578,87.71161,84.92882
69.01,90.55018,92.24934,93.24823,88.15026,88.06506,86.73092,93.28629,67.81788,84.92984,75.03938,84.93009,87.94952,93.96499,82.13447,86.9264,,98.65919,,86.09644,85.64335,84.93009,91.85092,84.04877,85.39384,86.20607,88.48294,88.15026,84.92876
70.01,90.52106,92.21139,93.42267,88.57877,88.39586,86.65568,93.32789,66.65559,84.9297,74.83491,84.92996,87.87004,93.9047,81.92516,86.84702,,97.82603,,86.80831,85.52564,84.92996,91.84336,83.99067,85.69113,86.00918,88.4034,88.57877,84.9287
71.01,90.48889,92.17404,93.58127,88.99278,88.74238,86.58155,93.36183,65.54856,84.92956,74.6772,84.92983,87.79269,93.84284,81.71535,86.76708,,97.03331,,87.48123,85.40736,84.92983,91.82515,83.93262,86.0216,85.81528,88.32707,88.99278,84.92864
72.01,90.45448,92.13758,93.72332,89.3885,89.09731,86.50817,93.3885,64.46302,,74.56281,,87.71747,93.78009,81.50483,86.68665,,96.27379,,88.10887,85.28864,,91.79697,83.87465,86.37941,85.62446,88.25387,89.3885,84.92858
73.01,90.41864,92.10231,93.84858,89.76274,89.45424,86.43513,93.4084,63.34361,,74.48843,,87.64438,93.71704,81.29339,86.6058,,95.53048,,88.68715,85.16965,,91.7596,83.81683,86.75901,85.43678,88.18373,89.76274,84.92853
